审核优先级,CCD编号,名称,同义词,CCD类型,分子式,分子量,母体CCD,立体化学SMILES,自动命中原因,骨架碳距离,审核结论（填写：收录/排除/暂缓）,分类（填写）,排除或收录理由（填写）,是否可作为独立肽合成单体（填写）,性质证据链接（填写）,CCD链接,结构图链接
P0｜网站已有例外,3WX,2-methyl-L-proline,,peptide-like,C6 H11 N O2,129.157,PRO,C[C@]1(CCCN1)C(=O)O,free-carboxyl-and-nearby-non-amide-amine,1,,,,,,https://www.rcsb.org/ligand/3WX,https://www.ebi.ac.uk/pdbe/static/files/pdbechem_v2/3WX_500.svg
P0｜网站已有例外,5JP,N-methyl-L-serine,,NON-POLYMER,C4 H9 N O3,119.119,SER,CN[C@@H](CO)C(=O)O,free-carboxyl-and-nearby-non-amide-amine,1,,,,,,https://www.rcsb.org/ligand/5JP,https://www.ebi.ac.uk/pdbe/static/files/pdbechem_v2/5JP_500.svg
P0｜网站已有例外,A1CHA,3-(aminomethyl)-L-phenylalanine,,non-polymer,C10 H14 N2 O2,194.23,PHE,c1cc(cc(c1)CN)C[C@@H](C(=O)O)N,free-carboxyl-and-nearby-non-amide-amine,1,,,,,,https://www.rcsb.org/ligand/A1CHA,https://www.ebi.ac.uk/pdbe/static/files/pdbechem_v2/A1CHA_500.svg
P0｜网站已有例外,NMK,N-methyl Lysine,,NON-POLYMER,C7 H17 N2 O2,161.222,,CN[C@@H](CCCC[NH3+])C(=O)O,free-carboxyl-and-nearby-non-amide-amine,1,,,,,,https://www.rcsb.org/ligand/NMK,https://www.ebi.ac.uk/pdbe/static/files/pdbechem_v2/NMK_500.svg
P0｜网站已有例外,SOQ,N-methyl-L-aspartic acid,,non-polymer,C5 H9 N O4,147.129,,CN[C@@H](CC(=O)O)C(=O)O,free-carboxyl-and-nearby-non-amide-amine,2,,,,,,https://www.rcsb.org/ligand/SOQ,https://www.ebi.ac.uk/pdbe/static/files/pdbechem_v2/SOQ_500.svg
P0｜网站已有例外,STA,STATINE,,peptide-like,C8 H17 N O3,175.225,,CC(C)C[C@@H]([C@H](CC(=O)O)O)N,free-carboxyl-and-nearby-non-amide-amine,3,,,,,,https://www.rcsb.org/ligand/STA,https://www.ebi.ac.uk/pdbe/static/files/pdbechem_v2/STA_500.svg
P1｜具有标准氨基酸母体,033,"N-({4'-[(1-BENZOFURAN-2-YLCARBONYL)AMINO]-1,1'-BIPHENYL-4-YL}SULFONYL)-L-VALINE",WAY033,NON-POLYMER,C26 H24 N2 O6 S,492.544,VAL,CC(C)[C@@H](C(=O)O)NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)NC(=O)c3cc4ccccc4o3,free-carboxyl-and-nearby-non-amide-amine,1,,,,,,https://www.rcsb.org/ligand/033,https://www.ebi.ac.uk/pdbe/static/files/pdbechem_v2/033_500.svg
P1｜具有标准氨基酸母体,0UO,4-methoxy-L-tryptophan,,peptide-like,C12 H14 N2 O3,234.251,TRP,COc1cccc2c1c(c[nH]2)C[C@@H](C(=O)O)N,free-carboxyl-and-nearby-non-amide-amine,1,,,,,,https://www.rcsb.org/ligand/0UO,https://www.ebi.ac.uk/pdbe/static/files/pdbechem_v2/0UO_500.svg
P1｜具有标准氨基酸母体,42Y,O-propanoyl-L-serine,,NON-POLYMER,C6 H11 N O4,161.156,SER,CCC(=O)OC[C@@H](C(=O)O)N,free-carboxyl-and-nearby-non-amide-amine,1,,,,,,https://www.rcsb.org/ligand/42Y,https://www.ebi.ac.uk/pdbe/static/files/pdbechem_v2/42Y_500.svg
P1｜具有标准氨基酸母体,45F,(4S)-4-(prop-2-yn-1-yloxy)-L-proline,,NON-POLYMER,C8 H11 N O3,169.178,PRO,C#CCO[C@H]1C[C@H](NC1)C(=O)O,free-carboxyl-and-nearby-non-amide-amine,1,,,,,,https://www.rcsb.org/ligand/45F,https://www.ebi.ac.uk/pdbe/static/files/pdbechem_v2/45F_500.svg
P1｜具有标准氨基酸母体,6DN,(2~{S})-2-azanyl-6-(2-hydroxy-2-oxoethylamino)hexanoic acid,,NON-POLYMER,C8 H16 N2 O4,204.224,LYS,C(CCNCC(=O)O)C[C@@H](C(=O)O)N,free-carboxyl-and-nearby-non-amide-amine,1,,,,,,https://www.rcsb.org/ligand/6DN,https://www.ebi.ac.uk/pdbe/static/files/pdbechem_v2/6DN_500.svg
P1｜具有标准氨基酸母体,8AY,"3-[6-(propan-2-yl)-1,3-benzothiazol-2-yl]-L-alanine",,NON-POLYMER,C13 H16 N2 O2 S,264.343,ALA,CC(C)c1ccc2c(c1)sc(n2)C[C@@H](C(=O)O)N,free-carboxyl-and-nearby-non-amide-amine,1,,,,,,https://www.rcsb.org/ligand/8AY,https://www.ebi.ac.uk/pdbe/static/files/pdbechem_v2/8AY_500.svg
