证据状态,审核优先级,CCD编号,名称,聚合物实体数,≤50残基实体数,示例PDB
网站已有人工证据,P0,3WX,2-methyl-L-proline,8,8,10SB / 6XIB / 6XIC / 6XID / 6XIE
网站已有人工证据,P0,5JP,N-methyl-L-serine,4,4,5E2A / 6DUB / 7NUS / 7TL8
网站已有人工证据,P0,A1CHA,3-(aminomethyl)-L-phenylalanine,3,3,10SB / 9P5C / 9R9M
网站已有人工证据,P0,NMK,N-methyl Lysine,2,2,6HVC / 7AA4
网站已有人工证据,P0,SOQ,N-methyl-L-aspartic acid,7,7,24HR / 24HS / 7AZ6 / 7AZ7 / 7AZG
网站已有人工证据,P0,STA,STATINE,44,44,1FIV / 1GVU / 1IZE / 1LS5 / 1LYB
短聚合物序列命中,P1,0UO,4-methoxy-L-tryptophan,2,2,4FN5 / 7UG7
仅长聚合物命中,P1,42Y,O-propanoyl-L-serine,3,0,4XSA / 5WGC / 6UR0
短聚合物序列命中,P1,45F,(4S)-4-(prop-2-yn-1-yloxy)-L-proline,1,1,4Y1C
仅长聚合物命中,P1,6DN,(2~{S})-2-azanyl-6-(2-hydroxy-2-oxoethylamino)hexanoic acid,1,0,5J2S
仅结构候选,P1,8AY,"3-[6-(propan-2-yl)-1,3-benzothiazol-2-yl]-L-alanine",0,0,
仅长聚合物命中,P1,9IJ,2-cyano-L-phenylalanine,19,0,7SJJ / 7SPV / 7SPW / 7SPX / 8DZU
短聚合物序列命中,P1,9RI,"N~6~-[(1R,2S,4S)-bicyclo[2.2.1]heptan-2-yl]-N~6~-methyl-L-lysine",1,1,8SII
短聚合物序列命中,P1,A1A2Y,5-methoxy-L-tryptophan,2,2,8VJD / 8VJE
短聚合物序列命中,P1,A1APM,alpha-methyl-L-phenylalanine,4,4,9BI3 / 9YM5 / 9YM6 / 9YM7
仅结构候选,P1,A1AV8,N-(prop-2-en-1-yl)glycine,0,0,
短聚合物序列命中,P1,A1BIE,N~6~-(2-methylprop-2-enoyl)-L-lysine,1,1,9EHI
短聚合物序列命中,P1,A1CZ7,"N,O-dimethyl-L-serine",1,1,9YWS
仅长聚合物命中,P1,A1DP2,S-[(1R)-1-hydroxy-2-oxopropyl]-L-cysteine,6,0,9CFI / 9CFM / 9CFO / 9CFY / 9CFZ
短聚合物序列命中,P1,A1IL6,"(2~{S},4~{S})-4-hexylsulfanylpyrrolidine-2-carboxylic acid",1,1,9GFK
短聚合物序列命中,P1,A1J0G,dimethyl-glutamic acid,1,1,9U2V
